Results for error margin CALCULATE PROBABILITY
r: 100, b: 1, d: 1000, a: 5, v: 2, function: 2.5109340220198044, result: 3.412
r: 100, b: 1, d: 1000, a: 10, v: 2, function: 2.2386503863173743, result: 2.7978
r: 500, b: 1, d: 10, a: 1, v: 2, function: 0.5481902049929068, result: 0.6812
r: 500, b: 1, d: 10, a: 5, v: 2, function: 0.242324654185944, result: 0.6964
r: 500, b: 1, d: 10, a: 10, v: 2, function: 0.21604716649273598, result: 0.715
r: 500, b: 1, d: 50, a: 1, v: 2, function: 1.8414139309889443, result: 3.3256
r: 500, b: 1, d: 50, a: 5, v: 2, function: 0.8139875356690284, result: 0.7183999999999999
r: 500, b: 1, d: 50, a: 10, v: 2, function: 0.7257193917493647, result: 0.7248
r: 500, b: 1, d: 100, a: 1, v: 2, function: 3.6828278619778887, result: 6.0104
r: 500, b: 1, d: 100, a: 5, v: 2, function: 1.6279750713380567, result: 3.4874
r: 500, b: 1, d: 100, a: 10, v: 2, function: 1.4514387834987295, result: 3.2114
r: 500, b: 1, d: 500, a: 1, v: 2, function: 11.217842558084728, result: 14.7324
r: 500, b: 1, d: 500, a: 5, v: 2, function: 4.9587894746047505, result: 8.829
r: 500, b: 1, d: 500, a: 10, v: 2, function: 4.4210623917791265, result: 7.501399999999999
r: 500, b: 1, d: 1000, a: 1, v: 2, function: 22.435685116169456, result: 22.9216
r: 500, b: 1, d: 1000, a: 5, v: 2, function: 9.917578949209501, result: 14.2596
r: 500, b: 1, d: 1000, a: 10, v: 2, function: 8.842124783558253, result: 12.771799999999999
r: 1000, b: 1, d: 10, a: 1, v: 2, function: 1.0599393705074176, result: 1.3328
r: 1000, b: 1, d: 10, a: 5, v: 2, function: 0.46854073472473046, result: 1.3508
r: 1000, b: 1, d: 10, a: 10, v: 2, function: 0.4177325599153762, result: 1.3800000000000001
r: 1000, b: 1, d: 50, a: 1, v: 2, function: 3.5604195497824818, result: 6.5082
r: 1000, b: 1, d: 50, a: 5, v: 2, function: 1.5738651079493076, result: 1.4352
r: 1000, b: 1, d: 50, a: 10, v: 2, function: 1.4031964603705405, result: 1.4184
r: 1000, b: 1, d: 100, a: 1, v: 2, function: 7.1208390995649635, result: 10.6176
r: 1000, b: 1, d: 100, a: 5, v: 2, function: 3.147730215898615, result: 6.9224000000000006
r: 1000, b: 1, d: 100, a: 10, v: 2, function: 2.806392920741081, result: 6.3966
r: 1000, b: 1, d: 500, a: 1, v: 2, function: 21.689977075787944, result: 23.63
r: 1000, b: 1, d: 500, a: 5, v: 2, function: 9.587942554098312, result: 15.2774
r: 1000, b: 1, d: 500, a: 10, v: 2, function: 8.548233890054675, result: 13.4432
r: 1000, b: 1, d: 1000, a: 1, v: 2, function: 43.37995415157589, result: 41.4916
r: 1000, b: 1, d: 1000, a: 5, v: 2, function: 19.175885108196624, result: 23.4418
r: 1000, b: 1, d: 1000, a: 10, v: 2, function: 17.09646778010935, result: 20.1594
r: 5000, b: 1, d: 10, a: 1, v: 2, function: 5.153932694623505, result: 14.858799999999999
r: 5000, b: 1, d: 10, a: 5, v: 2, function: 2.2782693790350224, result: 13.5668
r: 5000, b: 1, d: 10, a: 10, v: 2, function: 2.031215707296498, result: 13.894400000000001
r: 5000, b: 1, d: 50, a: 1, v: 2, function: 17.312464500130773, result: 29.2092
r: 5000, b: 1, d: 50, a: 5, v: 2, function: 7.65288568619154, result: 14.518
r: 5000, b: 1, d: 50, a: 10, v: 2, function: 6.823013009339945, result: 14.233400000000001
