Results for error margin CALCULATE PROBABILITY
 1.5
Red: 
[('r', 5000.0), (' b', 1.0), (' d', 50.0), (' a', 1.0), (' v', 2.0), (' function', 17.312464500130773), (' result', 28.4274), 0.6090062580514143]
[('r', 500.0), (' b', 1.0), (' d', 100.0), (' a', 1.0), (' v', 2.0), (' function', 3.6828278619778887), (' result', 6.0174), 0.6120297573666182]
[('r', 1000.0), (' b', 1.0), (' d', 100.0), (' a', 1.0), (' v', 2.0), (' function', 7.1208390995649635), (' result', 11.5702), 0.6154465004550451]
[('r', 1000.0), (' b', 1.0), (' d', 500.0), (' a', 5.0), (' v', 2.0), (' function', 9.587942554098312), (' result', 15.3604), 0.6241987548565344]
[('r', 5000.0), (' b', 1.0), (' d', 100.0), (' a', 5.0), (' v', 2.0), (' function', 15.30577137238308), (' result', 24.4746), 0.6253737087585939]
[('r', 10000.0), (' b', 1.0), (' d', 100.0), (' a', 5.0), (' v', 2.0), (' function', 30.503322817988654), (' result', 48.0092), 0.6353641139195957]
[('r', 100000.0), (' b', 1.0), (' d', 100.0), (' a', 10.0), (' v', 2.0), (' function', 271.0873120947266), (' result', 426.338), 0.635850691457779]
[('r', 50000.0), (' b', 1.0), (' d', 50.0), (' a', 1.0), (' v', 2.0), (' function', 172.02297019154906), (' result', 265.592), 0.6476963545270531]
[('r', 50.0), (' b', 1.0), (' d', 100.0), (' a', 10.0), (' v', 2.0), (' function', 0.23198005998061352), (' result', 0.35800000000000004), 0.6479889943592556]
[('r', 1000.0), (' b', 1.0), (' d', 500.0), (' a', 10.0), (' v', 2.0), (' function', 8.548233890054675), (' result', 13.0566), 0.6547059640377032]
[('r', 100000.0), (' b', 1.0), (' d', 10.0), (' a', 1.0), (' v', 2.0), (' function', 102.38627414238056), (' result', 156.13), 0.6557757903182]
[('r', 100000.0), (' b', 1.0), (' d', 100.0), (' a', 5.0), (' v', 2.0), (' function', 304.05924883888906), (' result', 459.69399999999996), 0.6614383673462979]
[('r', 100.0), (' b', 1.0), (' d', 50.0), (' a', 1.0), (' v', 2.0), (' function', 0.46620943595411524), (' result', 0.6998000000000001), 0.6662038238841315]
[('r', 10.0), (' b', 1.0), (' d', 100.0), (' a', 1.0), (' v', 2.0), (' function', 0.31357684914255723), (' result', 0.168), 1.866528863943793]
[('r', 10.0), (' b', 1.0), (' d', 500.0), (' a', 5.0), (' v', 2.0), (' function', 0.4222194567010611), (' result', 0.221), 1.9104952791903216]
[('r', 10.0), (' b', 1.0), (' d', 500.0), (' a', 10.0), (' v', 2.0), (' function', 0.37643432346908856), (' result', 0.191), 1.970860332298893]
[('r', 10.0), (' b', 1.0), (' d', 1000.0), (' a', 5.0), (' v', 2.0), (' function', 0.8444389134021222), (' result', 0.3792), 2.2268958686764826]
[('r', 10.0), (' b', 1.0), (' d', 1000.0), (' a', 10.0), (' v', 2.0), (' function', 0.7528686469381771), (' result', 0.31939999999999996), 2.357134148209697]
[('r', 10.0), (' b', 1.0), (' d', 500.0), (' a', 1.0), (' v', 2.0), (' function', 0.9551507307355686), (' result', 0.3912), 2.4415918474835596]
[('r', 10.0), (' b', 1.0), (' d', 1000.0), (' a', 1.0), (' v', 2.0), (' function', 1.910301461471137), (' result', 0.7153999999999999), 2.670256446003826]

Green: 
[('r', 50.0), (' b', 1.0), (' d', 100.0), (' a', 5.0), (' v', 2.0), (' function', 0.2601954412335548), (' result', 0.38280000000000003), 0.6797164086560993]
[('r', 100.0), (' b', 1.0), (' d', 500.0), (' a', 5.0), (' v', 2.0), (' function', 1.2554670110099022), (' result', 1.8304), 0.6858976240220183]
[('r', 500.0), (' b', 1.0), (' d', 1000.0), (' a', 5.0), (' v', 2.0), (' function', 9.917578949209501), (' result', 14.1542), 0.7006809956909964]
[('r', 500.0), (' b', 1.0), (' d', 1000.0), (' a', 10.0), (' v', 2.0), (' function', 8.842124783558253), (' result', 12.3208), 0.717658332539953]
[('r', 100.0), (' b', 1.0), (' d', 500.0), (' a', 10.0), (' v', 2.0), (' function', 1.1193251931586872), (' result', 1.5316), 0.7308208364838646]
[('r', 100.0), (' b', 1.0), (' d', 1000.0), (' a', 5.0), (' v', 2.0), (' function', 2.5109340220198044), (' result', 3.4122), 0.7358695334446411]
[('r', 50000.0), (' b', 1.0), (' d', 500.0), (' a', 5.0), (' v', 2.0), (' function', 463.2449443444674), (' result', 623.2239999999999), 0.7433040838357756]
[('r', 10000.0), (' b', 1.0), (' d', 50.0), (' a', 10.0), (' v', 2.0), (' function', 13.5977836955517), (' result', 18.281200000000002), 0.7438124245427925]
[('r', 100.0), (' b', 1.0), (' d', 100.0), (' a', 1.0), (' v', 2.0), (' function', 0.9324188719082305), (' result', 1.2464), 0.7480895955618024]
[('r', 500.0), (' b', 1.0), (' d', 500.0), (' a', 1.0), (' v', 2.0), (' function', 11.217842558084728), (' result', 14.766), 0.7597076092431754]
[('r', 10000.0), (' b', 1.0), (' d', 50.0), (' a', 1.0), (' v', 2.0), (' function', 34.502520688066134), (' result', 45.092000000000006), 0.7651583582024778]
[('r', 50000.0), (' b', 1.0), (' d', 500.0), (' a', 10.0), (' v', 2.0), (' function', 413.0110407210585), (' result', 539.412), 0.7656689890492954]
[('r', 100000.0), (' b', 1.0), (' d', 50.0), (' a', 1.0), (' v', 2.0), (' function', 343.92353207090275), (' result', 441.738), 0.778569043349005]
[('r', 5000.0), (' b', 1.0), (' d', 500.0), (' a', 5.0), (' v', 2.0), (' function', 46.621167190046805), (' result', 58.982200000000006), 0.7904277424383425]
[('r', 5000.0), (' b', 1.0), (' d', 100.0), (' a', 1.0), (' v', 2.0), (' function', 34.624929000261545), (' result', 43.5824), 0.7944704513808681]
[('r', 1000.0), (' b', 1.0), (' d', 1000.0), (' a', 5.0), (' v', 2.0), (' function', 19.175885108196624), (' result', 24.1014), 0.7956336606253837]
[('r', 50.0), (' b', 1.0), (' d', 50.0), (' a', 1.0), (' v', 2.0), (' function', 0.2943088740747615), (' result', 0.3692), 0.7971529633660929]
[('r', 10000.0), (' b', 1.0), (' d', 100.0), (' a', 1.0), (' v', 2.0), (' function', 69.00504137613227), (' result', 86.2632), 0.7999360257459991]
[('r', 100.0), (' b', 1.0), (' d', 1000.0), (' a', 10.0), (' v', 2.0), (' function', 2.2386503863173743), (' result', 2.7956), 0.8007763579615733]
[('r', 500.0), (' b', 1.0), (' d', 10.0), (' a', 1.0), (' v', 2.0), (' function', 0.5481902049929068), (' result', 0.6812), 0.8047419333424939]
[('r', 5000.0), (' b', 1.0), (' d', 500.0), (' a', 10.0), (' v', 2.0), (' function', 41.56560587625906), (' result', 51.5996), 0.8055412421076725]
[('r', 1000.0), (' b', 1.0), (' d', 10.0), (' a', 1.0), (' v', 2.0), (' function', 1.0599393705074176), (' result', 1.3157999999999999), 0.8055474772058198]
